V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.646032908,-0.966710342,-1.414417369,-0.765263088,0.090830149,0.548234829,0.424201903,-0.151439908,-0.903967705,-1.538521945,-1.839747205,-1.735986205,-1.287299528,-0.635220948,0.036277229,0.556895655,0.855491433,1.00041301,1.10514387,0.991315973
0.296686521,-0.279720389,-0.318197346,-0.048678025,0.262801376,0.520721152,0.698785402,0.779132011,0.743796745,0.592412838,0.351536759,0.053741293,-0.292188605,-0.700055776,-1.162139532,-1.591491199,-1.793619584,-1.48953082,-0.457221663,0.874215474
-0.329172751,-0.621267844,-0.385592393,0.137834914,0.664027361,0.988626136,1.009190386,0.739621556,0.284394413,-0.20257695,-0.573278356,-0.739524207,-0.685634605,-0.449399649,-0.113880323,0.18981812,0.30000795,0.083935624,-0.374747643,-0.436476181
1.028451479,0.169324975,-0.280673268,-0.272541941,-0.079571307,0.07013416,0.044905204,-0.175608206,-0.520838028,-0.867309526,-1.091979366,-1.127800703,-0.988542645,-0.762156327,-0.58259067,-0.557704041,-0.660755069,-0.662060286,-0.208524389,0.62886239
0.647809842,0.735390358,0.688744641,0.518356674,0.293979121,0.130040815,0.094947216,0.183891935,0.353113972,0.55784366,0.770394195,0.978994494,1.171559658,1.316134984,1.354976419,1.218557302,0.838029832,0.16579571,-0.674094168,-0.988513906
0.238481731,1.060457018,0.504589464,-0.2706251,-0.709642147,-0.824821657,-0.775982308,-0.677390204,-0.575108871,-0.485615616,-0.416357954,-0.359071913,-0.28862558,-0.190765525,-0.104324584,-0.121978704,-0.302256276,-0.544370051,-0.592319909,-0.406226734
-0.436566212,-0.559770691,0.099785908,0.791756236,1.259457931,1.521254664,1.655367635,1.714167356,1.706871798,1.626037358,1.479184736,1.290474149,1.075038396,0.819042848,0.488778498,0.060463014,-0.465665086,-1.091062473,-1.842583908,-2.451256043
-0.240084089,-0.299387835,-0.776098084,-1.155281194,-1.335801301,-1.421247408,-1.504707666,-1.611315859,-1.716351679,-1.774796678,-1.740672808,-1.575114915,-1.249877903,-0.762706558,-0.169836225,0.395968815,0.739479396,0.597915105,-0.325742855,-1.700036431
1.431568269,1.292986252,0.925321985,0.496542237,0.019489145,-0.413169401,-0.711226064,-0.869673733,-0.950246918,-1.018239195,-1.09585898,-1.157820701,-1.163112817,-1.09480324,-0.983796281,-0.894097571,-0.865403096,-0.867990007,-0.822001993,-0.652729632
0.414665734,0.412611733,0.278284021,0.298391893,0.359294303,0.313989154,0.099889653,-0.277625374,-0.776193887,-1.320772708,-1.807114417,-2.122081036,-2.16238718,-1.853061651,-1.197347261,-0.333892821,0.483654018,0.981663843,0.995470918,0.65437455
0.048705569,0.492998399,0.500410388,0.319284387,0.158177083,0.122195267,0.22293366,0.401464981,0.578092993,0.694840161,0.735117245,0.716305457,0.667299583,0.615299213,0.586227363,0.598558711,0.639056781,0.647560093,0.549825791,0.333337449
0.750205075,0.419110018,0.47815437,0.91595962,1.278939866,1.309105397,0.989988919,0.42336313,-0.268343986,-0.961356243,-1.535591791,-1.903444535,-2.034870047,-1.959515972,-1.747158167,-1.439720171,-0.93022543,0.072136068,1.665329385,2.562807319
-0.560186521,-0.456028373,-0.25972113,-0.001388177,0.262798487,0.484664587,0.628670779,0.65601673,0.532178603,0.268496915,-0.044134499,-0.259981113,-0.250874835,0.018217298,0.438932888,0.785337748,0.843633387,0.55484446,0.073938448,-0.277055893
-1.385273511,-0.390979137,0.46291589,0.449647997,-0.135060169,-0.785359006,-1.16617152,-1.215390879,-1.050348412,-0.834580042,-0.686766168,-0.645878925,-0.68611728,-0.7435739,-0.727948616,-0.541918837,-0.144878435,0.327633838,0.476177959,0.039768513
-0.59200305,-0.766507637,-0.347939564,0.129698362,0.389046657,0.406531949,0.238847223,-0.057676735,-0.428008024,-0.794645121,-1.066048628,-1.176994191,-1.11235634,-0.892587228,-0.541785847,-0.063897346,0.540714885,1.183258471,1.571968232,1.333018736
-0.135871371,-0.462331105,-0.413957885,-0.128619472,0.207618266,0.452882493,0.532342332,0.448836431,0.25780754,0.033899021,-0.160485946,-0.299682868,-0.398496402,-0.498445314,-0.650555944,-0.896325599,-1.23345007,-1.535402277,-1.401614774,-0.326385078
-0.55353046,-1.044656615,-0.87361043,-0.593656204,-0.518364477,-0.682396013,-0.992056098,-1.319782648,-1.549056695,-1.598613974,-1.445654127,-1.125266871,-0.699374188,-0.231286747,0.213884568,0.563617704,0.740566834,0.668801675,0.335816686,0.007979553
1.761466003,1.939156371,2.397676935,2.709612909,2.676493024,2.290167357,1.64085263,0.87066386,0.141926005,-0.385676023,-0.596477271,-0.455814215,-0.01051986,0.615320401,1.20438635,1.471659351,1.186830374,0.370075184,-0.477654423,-0.487081165
0.776999531,-0.177041226,-1.05357764,-1.203029223,-0.72120809,0.125879196,1.083061653,1.956792484,2.597571282,2.88381753,2.753634691,2.235317695,1.436889495,0.533581553,-0.229643056,-0.586416008,-0.370742077,0.339904395,1.02226766,0.67519276
0.468350265,0.200765524,-0.212989901,-0.503411026,-0.569768306,-0.445397266,-0.223543409,0.011973075,0.212581227,0.356742892,0.438047073,0.455332847,0.402469496,0.26882387,0.06488452,-0.138921285,-0.208457411,-0.028369055,0.28045498,0.170838571
0.570322732,0.576814573,0.341774745,-0.088352301,-0.541534825,-0.890671268,-1.094159548,-1.170862892,-1.157098795,-1.084759234,-0.978362847,-0.856046082,-0.734705393,-0.642339719,-0.62299827,-0.704464056,-0.81903531,-0.713061186,0.043658036,1.403091761
0.329195221,0.553520149,0.014225556,-0.294430157,-0.279747723,-0.112250455,0.129118387,0.460222411,0.89228999,1.366533949,1.766225549,1.979782472,1.951061175,1.696755236,1.315743374,0.972351965,0.808458307,0.810549848,0.690449728,0.067541039
-0.091730865,-1.041289976,-0.865077502,-0.217805724,0.277002775,0.396540765,0.181127201,-0.227016719,-0.69326577,-1.126003415,-1.476620932,-1.724200673,-1.848967082,-1.821466174,-1.640383907,-1.398387958,-1.283039536,-1.448456166,-1.729717533,-1.352869632
1.316778711,0.956935628,0.75439157,0.838778971,0.964997915,0.997690177,0.96551522,0.96270424,1.049283373,1.216347442,1.407166046,1.557577904,1.614822263,1.529057836,1.25355318,0.77702127,0.166671355,-0.383361873,-0.512524304,0.018024762
1.561827499,0.536220989,-0.083368899,0.0208551,0.408427034,0.669075383,0.619122994,0.291776618,-0.165185922,-0.589557309,-0.878066436,-1.016259392,-1.045995125,-1.000628178,-0.858335414,-0.546064576,0.000460776,0.734746663,1.372109013,1.344416593
0.269749328,0.467929745,0.525300452,0.659884205,0.783122158,0.794492724,0.691586625,0.53128407,0.364014679,0.203467603,0.031030364,-0.177978036,-0.418987625,-0.629533657,-0.695672747,-0.527314353,-0.167171743,0.186647504,0.394654613,0.755634805
0.937657292,0.455350375,0.306292395,0.317074209,0.314342615,0.304823622,0.345318767,0.460878123,0.64084853,0.86777432,1.1376832,1.451890895,1.784072414,2.050906506,2.130946453,1.955212655,1.601579614,1.301841287,1.294952597,1.338646988
-1.128161275,-0.861015925,0.042197346,0.876412465,1.395999386,1.583580769,1.516940619,1.297977694,1.00557373,0.682756555,0.340797658,-0.025189698,-0.39985476,-0.698961505,-0.754256271,-0.392072423,0.411716947,1.374126607,1.767584794,0.710280317
-1.240515038,-0.5109029,0.873053157,1.716333728,1.794301556,1.316143357,0.596602303,-0.113866714,-0.680443779,-1.062556751,-1.284257117,-1.398676854,-1.440019564,-1.384745246,-1.151324602,-0.65532665,0.10541921,0.983868373,1.695117352,1.932307409
-0.481963073,-0.357374606,-0.404626389,-0.487569933,-0.528815604,-0.522083941,-0.511926869,-0.562255007,-0.712448482,-0.948539155,-1.210473475,-1.432213754,-1.575397346,-1.627890455,-1.584356725,-1.443856236,-1.243041374,-1.113675861,-1.224304578,-1.255805852
